customer_id,full_name,email,phone,city,role,is_active,registered_date
1,Ali Hassan,ali35@gmail.com,0325108603,Rawalpindi,admin,True,2018-10-13
2,Muhammad Raza,muhammad614@gmail.com,0331533224,Karachi,admin,True,2018-07-11
3,Ahmed Khan,ahmed584@gmail.com,0318038374,Rawalpindi,customer,True,2020-07-08
4,Bilal Sheikh,bilal787@gmail.com,0318090293,Multan,customer,True,2019-07-24
5,Usman Tariq,usman114@hotmail.com,0307374122,Lahore,customer,True,2020-01-06
6,Faisal Malik,faisal836@hotmail.com,0308707870,Hyderabad,customer,True,2018-09-13
7,Kamran Baig,kamran90@outlook.com,0345918715,Sukkur,customer,True,2021-07-11
8,Zubair Qureshi,zubair601@hotmail.com,0312166941,Karachi,customer,True,2021-09-16
9,Imran Butt,imran91@hotmail.com,0312694522,Peshawar,customer,True,2019-07-24
10,Nadeem Chaudhry,nadeem176@hotmail.com,0326960453,Rawalpindi,customer,True,2021-10-04
11,Asif Nawaz,asif633@gmail.com,0319961380,Bahawalpur,customer,True,2019-05-17
12,Tariq Mehmood,tariq286@outlook.com,0344684531,Gujranwala,customer,True,2019-10-27
13,Waqas Javed,waqas244@gmail.com,0306292423,Peshawar,customer,True,2019-07-03
14,Hamid Saeed,hamid227@hotmail.com,0337637601,Larkana,customer,True,2023-02-16
15,Rizwan Akhtar,rizwan281@yahoo.com,0315137722,Bahawalpur,customer,True,2021-02-23
16,Salman Mirza,salman929@outlook.com,0347700828,Multan,customer,True,2019-03-26
17,Adnan Siddiqui,adnan531@yahoo.com,0332525206,Sargodha,customer,True,2018-04-07
18,Fahad Iqbal,fahad652@yahoo.com,0318082668,Sialkot,customer,True,2018-05-11
19,Junaid Anwar,junaid551@outlook.com,0321192619,Gujranwala,customer,True,2022-01-16
20,Kashif Rehman,kashif797@hotmail.com,0322871534,Faisalabad,customer,True,2020-06-09
21,Sajid Hussain,sajid986@gmail.com,0329398441,Sargodha,customer,True,2019-01-01
22,Naveed Ahmad,naveed901@gmail.com,0329517169,Sialkot,customer,True,2019-02-12
23,Zahid Amjad,zahid562@yahoo.com,0341009594,Sialkot,customer,True,2019-10-26
24,Waseem Asghar,waseem961@gmail.com,0326159230,Rawalpindi,customer,True,2018-04-29
25,Khurram Shahzad,khurram97@gmail.com,0332161193,Sargodha,customer,True,2020-12-26
26,Shafiq Bajwa,shafiq685@yahoo.com,0333770370,Faisalabad,customer,True,2020-12-16
27,Aamir Gill,aamir997@outlook.com,0314374754,Bahawalpur,customer,True,2019-10-01
28,Naeem Choudry,naeem458@hotmail.com,0348574680,Lahore,customer,True,2019-05-23
29,Rana Shakeel,rana31@hotmail.com,0344860684,Sialkot,customer,False,2019-03-28
30,Ghulam Mustafa,ghulam244@gmail.com,0301527021,Sukkur,customer,True,2019-11-08
31,Pervaiz Alam,pervaiz295@yahoo.com,0334594297,Hyderabad,customer,True,2018-09-28
32,Tanveer Sultan,tanveer258@outlook.com,0337829332,Rawalpindi,customer,True,2018-07-13
33,Babar Aziz,babar372@outlook.com,0337897151,Quetta,customer,True,2022-11-05
34,Shahid Latif,shahid72@gmail.com,0336692553,Sargodha,customer,True,2022-10-31
35,Mansoor Ul Haq,mansoor204@yahoo.com,0348526486,Islamabad,customer,True,2020-05-14
36,Irfan Haider,irfan265@outlook.com,0308434500,Sargodha,customer,True,2022-10-31
37,Tahir Naqvi,tahir61@gmail.com,0341247595,Lahore,customer,True,2023-03-13
38,Mohsin Rauf,mohsin180@yahoo.com,0339147706,Quetta,customer,True,2019-03-14
39,Atif Zaman,atif178@gmail.com,0331036161,Peshawar,customer,True,2019-06-28
40,Saad Farooq,saad302@outlook.com,0339164991,Islamabad,customer,True,2019-01-24
41,Haris Naseer,haris603@gmail.com,0342022698,Bahawalpur,customer,False,2019-10-05
42,Danyal Yousuf,danyal524@outlook.com,0343641282,Karachi,customer,True,2023-05-22
43,Sohail Bhatti,sohail80@yahoo.com,0342140194,Gujranwala,customer,True,2022-11-01
44,Arif Lodhi,arif974@gmail.com,0345130808,Sialkot,customer,False,2021-05-02
45,Nasir Qayyum,nasir439@gmail.com,0349770838,Multan,customer,True,2023-03-30
46,Javed Rana,javed254@hotmail.com,0327640184,Islamabad,customer,True,2021-10-07
47,Saeed Chishti,saeed333@outlook.com,0301156287,Quetta,customer,True,2021-06-26
48,Qasim Alvi,qasim85@gmail.com,0344576135,Hyderabad,customer,True,2019-06-28
49,Mujtaba Kazmi,mujtaba912@hotmail.com,0305098412,Multan,customer,True,2019-08-07
50,Talha Warraich,talha636@hotmail.com,0341131249,Gujranwala,customer,True,2022-08-01
